training, validation
0.6867,0.6840
0.6768,0.6735
0.6699,0.6695
0.6633,0.6724
0.6615,0.6634
0.6571,0.6638
0.6550,0.6610
0.6532,0.6707
0.6526,0.6613
0.6513,0.6580
0.6499,0.6629
0.6509,0.6561
0.6485,0.6565
0.6470,0.6554
0.6474,0.6614
0.6458,0.6545
0.6456,0.6543
0.6443,0.6544
0.6441,0.6529
0.6443,0.6576
0.6422,0.6532
0.6432,0.6524
0.6425,0.6523
0.6422,0.6525
0.6425,0.6514
0.6406,0.6522
0.6410,0.6537
0.6416,0.6596
0.6407,0.6534
0.6402,0.6523
0.6412,0.6551
0.6396,0.6623
0.6405,0.6514
0.6392,0.6506
0.6392,0.6517
0.6414,0.6513
0.6386,0.6506
0.6389,0.6591
0.6380,0.6526
0.6381,0.6501
